date,min,max,pm25,q1,q3,stdev,count
2020-08-12T00:00:00.000Z,0.75,922.53,1.48,1.25,1.8,44.305,446
2020-08-13T00:00:00.000Z,1.65,7.75,3.67,3.05,4.61,1.28,449
2020-08-14T00:00:00.000Z,2.58,10,4.37,3.58,5.4,1.667,391
2020-08-15T00:00:00.000Z,2.54,767.28,5.45,3.67,6.18,41.263,461
2020-08-16T00:00:00.000Z,0.4,929.55,4.62,1,7.82,43.575,459
2020-08-17T00:00:00.000Z,0.9,8.77,4.65,2.97,6.1,1.99,464
2020-08-18T00:00:00.000Z,2.33,347.9,4.4,3.58,5.39,17.829,449
2020-08-19T00:00:00.000Z,1.85,11.27,4.28,3.03,5.28,1.924,439
2020-08-20T00:00:00.000Z,1.42,82.82,2.5,2.12,2.97,5.736,464
2020-08-21T00:00:00.000Z,2.08,277.98,4,3.2,5.07,13.12,442
2020-08-22T00:00:00.000Z,1.27,7.62,3.3,2,4.88,1.646,409
2020-08-23T00:00:00.000Z,0.85,341.42,1.7,1.4,2.62,17.022,402
2020-08-24T00:00:00.000Z,0.3,5.09,0.7,0.5,2.13,0.994,337
2020-08-25T00:00:00.000Z,0.3,4.47,0.56,0.5,0.7,0.378,383
2020-08-26T00:00:00.000Z,0.28,2.6,0.6,0.5,0.73,0.285,376
2020-08-27T00:00:00.000Z,0.22,103.72,0.55,0.43,0.7,5.739,457
2020-08-28T00:00:00.000Z,0.3,2.47,0.7,0.5,0.93,0.37,391
2020-08-29T00:00:00.000Z,0.5,3.05,1.54,1.25,1.83,0.454,402
2020-08-30T00:00:00.000Z,0.4,8.38,1.37,1,2.04,0.811,387
2020-08-31T00:00:00.000Z,0.2,4.05,0.7,0.45,1.4,0.692,387
2020-09-01T00:00:00.000Z,0.7,4.12,1.73,1.25,2.52,0.719,347
2020-09-02T00:00:00.000Z,0.8,4.87,2.35,1.85,3.22,0.911,475
2020-09-03T00:00:00.000Z,1.3,82,5.53,4.18,7.35,5.736,471
2020-09-04T00:00:00.000Z,0.9,7.2,2.4,1.55,3.7,1.277,479
2020-09-05T00:00:00.000Z,0.5,5.18,1.72,1.17,2.58,0.895,480
2020-09-06T00:00:00.000Z,0.2,97.4,1.02,0.69,1.79,4.527,473
2020-09-07T00:00:00.000Z,0.2,3.58,0.7,0.43,1.2,0.554,447
2020-09-08T00:00:00.000Z,0.25,4.59,1,0.62,1.42,0.699,379
2020-09-09T00:00:00.000Z,0.2,5.47,2.87,1,3.55,1.439,403
2020-09-10T00:00:00.000Z,0.1,1.55,0.3,0.3,0.4,0.14,342
2020-09-11T00:00:00.000Z,0.3,3.72,1,0.61,1.57,0.782,313
2020-09-12T00:00:00.000Z,1.37,7.25,3.72,3.2,4.4,1,297
2020-09-13T00:00:00.000Z,0.55,6.07,2.6,1.4,3.25,1.143,371
2020-09-14T00:00:00.000Z,0.5,4.18,2.25,1.08,2.8,0.963,287
2020-09-15T00:00:00.000Z,2.7,9.07,5.55,4.55,6.32,1.364,253
2020-09-16T00:00:00.000Z,0.2,0.73,0.4,0.3,0.42,0.107,36
2020-09-17T00:00:00.000Z,0.22,16.17,0.55,0.42,0.7,1.499,153
2020-09-18T00:00:00.000Z,0.56,3.47,1.05,0.9,1.26,0.356,329
2020-09-19T00:00:00.000Z,0.6,12.37,1.1,0.9,1.5,1.268,313
2020-09-20T00:00:00.000Z,0.8,3.58,1.9,1.6,2.27,0.494,237
2020-09-21T00:00:00.000Z,1.27,4.54,2.52,2.12,3.04,0.582,225
2020-09-22T00:00:00.000Z,1.08,91.63,2.13,1.83,3.8,6.999,342
2020-09-23T00:00:00.000Z,2.8,32.83,9.15,5.75,13.45,7.465,454
2020-09-24T00:00:00.000Z,5.03,41.03,16,8.97,21.89,8.369,469
2020-09-25T00:00:00.000Z,1.4,15.93,3.7,2.92,5.28,2.767,343
2020-09-26T00:00:00.000Z,11.52,24.83,16.57,14.68,19.6,3.014,271
2020-09-27T00:00:00.000Z,6.05,28.65,18.26,15.02,24.4,5.598,230
2020-09-28T00:00:00.000Z,6.45,23.7,11.22,7.9,17.85,5.071,270
2020-09-29T00:00:00.000Z,1.65,14.68,4.2,3.1,8.57,3.269,262
